"","country","week","meanflu","meantemp","meanRH","meanAH","varflu","vartemp","day"
"116","Austria",12,0.001934,4.42283950617284,0.735437111111111,4.90311066666667,1.142016475e-05,10.1953660836763,80.5
"117","Austria",13,0.001660625,6.58854166666667,0.68976375,5.22885375,5.69782798214286e-06,7.72464382164903,87.5
"118","Austria",14,0.00102666666666667,7.47222222222222,0.682704333333333,5.53001083333333,1.38319146666667e-06,10.7086419753086,94.5
"119","Austria",15,0.0011826,7.60833333333333,0.69068,5.5495356,2.5053818e-06,4.3516975308642,101.5
"120","Austria",16,0.00047275,9.75,0.684374,6.3512625,6.3263825e-07,4.18467078189301,108.5
"121","Austria",17,0.000266,12.1527777777778,0.67661475,7.31067175,1.15227333333333e-07,2.93441358024691,115.5
"122","Austria",18,8.85e-05,13.8472222222222,0.707116,8.4693355,1.27636666666667e-08,8.62165637860082,122.5
"123","Austria",19,8.875e-05,13.6111111111111,0.7231695,8.4563585,1.27835833333333e-08,1.41923868312757,129.5
"124","Austria",20,2.95e-05,11.5347222222222,0.671085,7.01542275,3.481e-09,10.3690200617284,136.5
"125","Austria",21,2.95e-05,14.0902777777778,0.71640575,8.76063525,3.481e-09,16.4646990740741,143.5
"126","Austria",22,0,12.9722222222222,0.80901525,9.17954675,0,7.90792181069959,150.5
"127","Austria",23,5.9e-05,16.6180555555556,0.7749595,10.90441675,1.3924e-08,5.71829989711935,157.5
"128","Austria",24,2.95e-05,16.4131944444444,0.79900325,11.135737,3.481e-09,4.17057291666666,164.5
"129","Austria",25,0,17.6388888888889,0.758822,11.4921105,0,18.8791152263374,171.5
"130","Austria",26,0,16.3796296296296,0.726796666666667,10.22124,0,14.1129115226337,178.5
"131","Austria",27,0,19.212962962963,0.782954,12.9645933333333,0,3.05889917695473,185.5
"132","Austria",28,0,19.2277777777778,0.7415472,12.2224432,0,11.0016975308642,192.5
"133","Austria",29,0,18.7708333333333,0.72774425,11.65216875,0,13.9374356995885,199.5
"134","Austria",30,0,18.2222222222222,0.765914,11.96904475,0,13.8431069958848,206.5
"135","Austria",31,0,19.3125,0.7359235,12.14596025,0,7.7630529835391,213.5
"136","Austria",32,0,18.0416666666667,0.75534975,11.63544975,0,3.41435185185185,220.5
"137","Austria",33,0,18.1666666666667,0.74143075,11.508535,0,1.75925925925926,227.5
"138","Austria",34,0,20.4652777777778,0.74776625,13.30699675,0,10.9904192386831,234.5
"139","Austria",35,0,14.5555555555556,0.78068975,9.77963325,0,2.88683127572017,241.5
"140","Austria",36,0,16.1388888888889,0.81572175,11.21029475,0,4.72736625514404,248.5
"141","Austria",37,0,14.4513888888889,0.81484425,10.1298565,0,6.66583076131687,255.5
"142","Austria",38,0,12.4722222222222,0.80747725,8.86939275,0,0.725308641975309,262.5
"143","Austria",39,0,12.5257936507937,0.831005428571429,9.18121342857143,0,3.02163249559083,269.5
"144","Austria",40,0,10.9506172839506,0.836466888888889,8.37859677777778,0,5.45655435528121,276.5
"145","Austria",41,0,9.12654320987654,0.829826888888889,7.41376488888889,0,3.94427297668039,283.5
